Date: 2024-01-01, Action: Buy, Stock: AAPL, Amount: 63, Price: 158.3, Return: 0.0%
Date: 2024-09-30, Action: Buy, Stock: AAPL, Amount: 45, Price: 378.89, Return: 73.14%
Date: 2024-10-01, Action: Sell, Stock: AAPL, Amount: 45, Price: 370.44, Return: 69.34%
Date: 2024-10-02, Action: Buy, Stock: AAPL, Amount: 43, Price: 393.62, Return: 69.34%
Date: 2024-10-03, Action: Sell, Stock: AAPL, Amount: 43, Price: 412.88, Return: 77.62%
Date: 2024-10-04, Action: Buy, Stock: AAPL, Amount: 43, Price: 411.91, Return: 77.62%
Date: 2024-10-05, Action: Sell, Stock: AAPL, Amount: 43, Price: 435.2, Return: 87.63%
Date: 2024-10-06, Action: Buy, Stock: AAPL, Amount: 42, Price: 444.5, Return: 87.63%
Date: 2024-10-07, Action: Sell, Stock: AAPL, Amount: 42, Price: 431.82, Return: 82.31%
Date: 2024-10-08, Action: Buy, Stock: AAPL, Amount: 44, Price: 410.92, Return: 82.31%
Date: 2024-10-09, Action: Sell, Stock: AAPL, Amount: 44, Price: 410.64, Return: 82.18%
Date: 2024-10-10, Action: Buy, Stock: AAPL, Amount: 43, Price: 419.06, Return: 82.18%
Date: 2024-10-11, Action: Hold, Stock: AAPL, Amount: 0, Price: 409.32, Return: 78.0%
Date: 2024-10-12, Action: Hold, Stock: AAPL, Amount: 0, Price: 388.55, Return: 69.06%
Date: 2024-10-13, Action: Sell, Stock: AAPL, Amount: 43, Price: 388.34, Return: 68.97%
Date: 2024-10-14, Action: Buy, Stock: AAPL, Amount: 42, Price: 398.81, Return: 68.97%
Date: 2024-10-15, Action: Hold, Stock: AAPL, Amount: 0, Price: 401.24, Return: 69.99%
Date: 2024-10-16, Action: Sell, Stock: AAPL, Amount: 42, Price: 380.21, Return: 61.16%
Date: 2024-10-17, Action: Buy, Stock: AAPL, Amount: 41, Price: 383.83, Return: 61.16%
Date: 2024-10-18, Action: Sell, Stock: AAPL, Amount: 41, Price: 377.52, Return: 58.58%
Date: 2024-10-19, Action: Buy, Stock: AAPL, Amount: 42, Price: 373.81, Return: 58.58%
Date: 2024-10-20, Action: Sell, Stock: AAPL, Amount: 42, Price: 363.46, Return: 54.23%
Date: 2024-10-21, Action: Buy, Stock: AAPL, Amount: 44, Price: 349.03, Return: 54.23%
Date: 2024-10-22, Action: Sell, Stock: AAPL, Amount: 44, Price: 344.02, Return: 52.02%
Date: 2024-10-23, Action: Buy, Stock: AAPL, Amount: 41, Price: 363.65, Return: 52.02%
Date: 2024-10-24, Action: Sell, Stock: AAPL, Amount: 41, Price: 352.15, Return: 47.31%
Date: 2024-10-25, Action: Buy, Stock: AAPL, Amount: 43, Price: 337.19, Return: 47.31%
Date: 2024-10-26, Action: Sell, Stock: AAPL, Amount: 43, Price: 338.1, Return: 47.7%
Date: 2024-10-27, Action: Buy, Stock: AAPL, Amount: 42, Price: 350.25, Return: 47.7%
Date: 2024-10-28, Action: Sell, Stock: AAPL, Amount: 42, Price: 343.49, Return: 44.86%
Date: 2024-10-29, Action: Buy, Stock: AAPL, Amount: 40, Price: 359.7, Return: 44.86%
Date: 2024-10-30, Action: Sell, Stock: AAPL, Amount: 40, Price: 347.18, Return: 39.85%
Date: 2024-10-31, Action: Buy, Stock: AAPL, Amount: 41, Price: 335.86, Return: 39.85%
Date: 2024-11-01, Action: Sell, Stock: AAPL, Amount: 41, Price: 340.91, Return: 41.92%
Date: 2024-11-02, Action: Buy, Stock: AAPL, Amount: 42, Price: 331.28, Return: 41.92%
Date: 2024-11-03, Action: Hold, Stock: AAPL, Amount: 0, Price: 344.1, Return: 47.31%
Date: 2024-11-04, Action: Sell, Stock: AAPL, Amount: 42, Price: 360.41, Return: 54.16%
Date: 2024-11-05, Action: Buy, Stock: AAPL, Amount: 42, Price: 363.0, Return: 54.16%
Date: 2024-11-06, Action: Sell, Stock: AAPL, Amount: 42, Price: 355.95, Return: 51.2%
Date: 2024-11-07, Action: Buy, Stock: AAPL, Amount: 42, Price: 353.33, Return: 51.2%
Date: 2024-11-08, Action: Sell, Stock: AAPL, Amount: 42, Price: 351.41, Return: 50.39%
Date: 2024-11-09, Action: Buy, Stock: AAPL, Amount: 43, Price: 347.71, Return: 50.39%
Date: 2024-11-10, Action: Sell, Stock: AAPL, Amount: 43, Price: 363.55, Return: 57.2%
Date: 2024-11-11, Action: Buy, Stock: AAPL, Amount: 41, Price: 380.32, Return: 57.2%
Date: 2024-11-12, Action: Sell, Stock: AAPL, Amount: 41, Price: 365.22, Return: 51.01%
Date: 2024-11-13, Action: Buy, Stock: AAPL, Amount: 41, Price: 362.96, Return: 51.01%
Date: 2024-11-14, Action: Sell, Stock: AAPL, Amount: 41, Price: 379.03, Return: 57.6%
Date: 2024-11-15, Action: Buy, Stock: AAPL, Amount: 41, Price: 377.72, Return: 57.6%
Date: 2024-11-16, Action: Sell, Stock: AAPL, Amount: 41, Price: 371.99, Return: 55.25%
Date: 2024-11-17, Action: Buy, Stock: AAPL, Amount: 40, Price: 382.01, Return: 55.25%
Date: 2024-11-18, Action: Sell, Stock: AAPL, Amount: 40, Price: 385.35, Return: 56.59%
Date: 2024-11-19, Action: Buy, Stock: AAPL, Amount: 41, Price: 381.12, Return: 56.59%
Date: 2024-11-20, Action: Hold, Stock: AAPL, Amount: 0, Price: 402.36, Return: 65.29%
Date: 2024-11-21, Action: Sell, Stock: AAPL, Amount: 41, Price: 400.25, Return: 64.43%
Date: 2024-11-22, Action: Buy, Stock: AAPL, Amount: 40, Price: 405.08, Return: 64.43%
Date: 2024-11-23, Action: Sell, Stock: AAPL, Amount: 40, Price: 419.52, Return: 70.21%
Date: 2024-11-24, Action: Buy, Stock: AAPL, Amount: 40, Price: 419.88, Return: 70.21%
Date: 2024-11-25, Action: Sell, Stock: AAPL, Amount: 40, Price: 421.99, Return: 71.05%
Date: 2024-11-26, Action: Buy, Stock: AAPL, Amount: 39, Price: 428.14, Return: 71.05%
Date: 2024-11-27, Action: Sell, Stock: AAPL, Amount: 39, Price: 450.28, Return: 79.68%
Date: 2024-11-28, Action: Buy, Stock: AAPL, Amount: 40, Price: 447.25, Return: 79.68%
Date: 2024-11-29, Action: Sell, Stock: AAPL, Amount: 40, Price: 439.33, Return: 76.52%
Date: 2024-11-30, Action: Buy, Stock: AAPL, Amount: 42, Price: 418.76, Return: 76.52%
Date: 2024-12-01, Action: Sell, Stock: AAPL, Amount: 42, Price: 424.55, Return: 78.95%
Date: 2024-12-02, Action: Buy, Stock: AAPL, Amount: 41, Price: 432.85, Return: 78.95%
Date: 2024-12-03, Action: Sell, Stock: AAPL, Amount: 41, Price: 424.68, Return: 75.6%
Date: 2024-12-04, Action: Buy, Stock: AAPL, Amount: 40, Price: 434.96, Return: 75.6%
Date: 2024-12-05, Action: Sell, Stock: AAPL, Amount: 40, Price: 442.29, Return: 78.53%
Date: 2024-12-06, Action: Buy, Stock: AAPL, Amount: 38, Price: 463.34, Return: 78.53%
Date: 2024-12-07, Action: Hold, Stock: AAPL, Amount: 0, Price: 448.18, Return: 72.77%
Date: 2024-12-08, Action: Hold, Stock: AAPL, Amount: 0, Price: 436.09, Return: 68.18%
Date: 2024-12-09, Action: Hold, Stock: AAPL, Amount: 0, Price: 459.26, Return: 76.98%
Date: 2024-12-10, Action: Sell, Stock: AAPL, Amount: 38, Price: 476.22, Return: 83.42%
Date: 2024-12-11, Action: Buy, Stock: AAPL, Amount: 37, Price: 493.29, Return: 83.42%
Date: 2024-12-12, Action: Sell, Stock: AAPL, Amount: 37, Price: 487.33, Return: 81.22%
Date: 2024-12-13, Action: Buy, Stock: AAPL, Amount: 37, Price: 482.83, Return: 81.22%
Date: 2024-12-14, Action: Sell, Stock: AAPL, Amount: 37, Price: 469.44, Return: 76.26%
Date: 2024-12-15, Action: Buy, Stock: AAPL, Amount: 35, Price: 493.07, Return: 76.26%
Date: 2024-12-16, Action: Sell, Stock: AAPL, Amount: 35, Price: 510.27, Return: 82.29%
Date: 2024-12-17, Action: Buy, Stock: AAPL, Amount: 36, Price: 496.3, Return: 82.29%
Date: 2024-12-18, Action: Sell, Stock: AAPL, Amount: 36, Price: 479.13, Return: 76.1%
Date: 2024-12-19, Action: Buy, Stock: AAPL, Amount: 34, Price: 507.11, Return: 76.1%
Date: 2024-12-20, Action: Sell, Stock: AAPL, Amount: 34, Price: 519.86, Return: 80.44%
Date: 2024-12-21, Action: Buy, Stock: AAPL, Amount: 35, Price: 514.34, Return: 80.44%
Date: 2024-12-22, Action: Sell, Stock: AAPL, Amount: 35, Price: 504.2, Return: 76.89%
Date: 2024-12-23, Action: Buy, Stock: AAPL, Amount: 35, Price: 493.06, Return: 76.89%
Date: 2024-12-24, Action: Sell, Stock: AAPL, Amount: 35, Price: 504.33, Return: 80.83%
Date: 2024-12-25, Action: Buy, Stock: AAPL, Amount: 34, Price: 520.94, Return: 80.83%
Date: 2024-12-26, Action: Sell, Stock: AAPL, Amount: 34, Price: 508.18, Return: 76.5%
Date: 2024-12-27, Action: Buy, Stock: AAPL, Amount: 33, Price: 523.01, Return: 76.5%
Date: 2024-12-28, Action: Hold, Stock: AAPL, Amount: 0, Price: 539.28, Return: 81.86%
Date: 2024-12-29, Action: Sell, Stock: AAPL, Amount: 33, Price: 533.88, Return: 80.08%
Date: 2024-12-30, Action: Buy, Stock: AAPL, Amount: 34, Price: 519.03, Return: 80.08%
Date: 2024-12-31, Action: Hold, Stock: AAPL, Amount: 0, Price: 531.09, Return: 84.18%
